2021-11-20 20:47:27.6403447 +0500 PKT m=+24.014885801, 127.0.0.1:8028, balance = 0 
2021-11-20 20:49:18.050128 +0500 PKT m=+134.424669001, 127.0.0.1:8017, balance = 10 
2021-11-20 20:49:18.0501328 +0500 PKT m=+134.424673801, 127.0.0.1:8018, balance = 10 
2021-11-20 20:49:18.0501367 +0500 PKT m=+134.424677701, 127.0.0.1:8047, balance = 30 
2021-11-20 20:49:18.050141 +0500 PKT m=+134.424681901, 127.0.0.1:8026, balance = 0 
2021-11-20 20:49:18.0501466 +0500 PKT m=+134.424687501, 127.0.0.1:8004, balance = 0 
2021-11-20 20:49:18.0501507 +0500 PKT m=+134.424691701, 127.0.0.1:8013, balance = 0 
2021-11-20 20:49:18.0501559 +0500 PKT m=+134.424696801, 127.0.0.1:8008, balance = 0 
2021-11-20 20:49:28.0510562 +0500 PKT m=+144.425597201, 127.0.0.1:8010, balance = 20 
2021-11-20 20:49:28.0510743 +0500 PKT m=+144.425615301, 127.0.0.1:8011, balance = 20 
2021-11-20 20:49:28.0510795 +0500 PKT m=+144.425620501, 127.0.0.1:8041, balance = 10 
2021-11-20 20:49:28.0510828 +0500 PKT m=+144.425623801, 127.0.0.1:8027, balance = 0 
2021-11-20 20:49:28.0510876 +0500 PKT m=+144.425628601, 127.0.0.1:8035, balance = 0 
2021-11-20 20:49:28.0510914 +0500 PKT m=+144.425632401, 127.0.0.1:8043, balance = 10 
2021-11-20 20:49:28.0510952 +0500 PKT m=+144.425636101, 127.0.0.1:8033, balance = 20 
2021-11-20 20:49:28.0510981 +0500 PKT m=+144.425639101, 127.0.0.1:8003, balance = 20 
2021-11-20 20:49:28.051101 +0500 PKT m=+144.425642001, 127.0.0.1:8002, balance = 10 
2021-11-20 20:49:28.0511061 +0500 PKT m=+144.425647101, 127.0.0.1:8039, balance = 10 
2021-11-20 20:49:28.0511084 +0500 PKT m=+144.425649301, 127.0.0.1:8046, balance = 20 
2021-11-20 20:49:28.0511123 +0500 PKT m=+144.425653301, 127.0.0.1:8029, balance = 10 
2021-11-20 20:49:28.0511161 +0500 PKT m=+144.425657001, 127.0.0.1:8044, balance = 10 
2021-11-20 20:49:28.051118 +0500 PKT m=+144.425659001, 127.0.0.1:8049, balance = 30 
2021-11-20 20:49:28.0511219 +0500 PKT m=+144.425662801, 127.0.0.1:8007, balance = 10 
2021-11-20 20:49:28.0511254 +0500 PKT m=+144.425666401, 127.0.0.1:8024, balance = 0 
2021-11-20 20:49:28.0511275 +0500 PKT m=+144.425668401, 127.0.0.1:8037, balance = 10 
2021-11-20 20:49:28.0511312 +0500 PKT m=+144.425672101, 127.0.0.1:8030, balance = 0 
2021-11-20 20:49:28.0511344 +0500 PKT m=+144.425675401, 127.0.0.1:8019, balance = 20 
2021-11-20 20:49:28.0511365 +0500 PKT m=+144.425677501, 127.0.0.1:8038, balance = 40 
2021-11-20 20:49:28.0511386 +0500 PKT m=+144.425679501, 127.0.0.1:8042, balance = 20 
2021-11-20 20:49:28.0511417 +0500 PKT m=+144.425682601, 127.0.0.1:8032, balance = 10 
2021-11-20 20:49:28.0511436 +0500 PKT m=+144.425684501, 127.0.0.1:8028, balance = 30 
2021-11-20 20:49:28.0511578 +0500 PKT m=+144.425698801, 127.0.0.1:8012, balance = 10 
2021-11-20 20:49:28.0511616 +0500 PKT m=+144.425702601, 127.0.0.1:8004, balance = 10 
2021-11-20 20:49:28.0511637 +0500 PKT m=+144.425704601, 127.0.0.1:8040, balance = 10 
2021-11-20 20:49:28.0511656 +0500 PKT m=+144.425706601, 127.0.0.1:8020, balance = 0 
2021-11-20 20:49:28.0511704 +0500 PKT m=+144.425711401, 127.0.0.1:8036, balance = 20 
2021-11-20 20:49:28.0511737 +0500 PKT m=+144.425714601, 127.0.0.1:8017, balance = 20 
2021-11-20 20:49:28.051179 +0500 PKT m=+144.425720001, 127.0.0.1:8018, balance = 10 
2021-11-20 20:49:28.0511822 +0500 PKT m=+144.425723201, 127.0.0.1:8047, balance = 40 
2021-11-20 20:49:28.051185 +0500 PKT m=+144.425726001, 127.0.0.1:8026, balance = 10 
2021-11-20 20:49:28.0511885 +0500 PKT m=+144.425729401, 127.0.0.1:8013, balance = 10 
2021-11-20 20:49:28.0511907 +0500 PKT m=+144.425731601, 127.0.0.1:8008, balance = 30 
2021-11-20 20:49:28.0511935 +0500 PKT m=+144.425734401, 127.0.0.1:8050, balance = 0 
2021-11-20 20:49:28.0511955 +0500 PKT m=+144.425736501, 127.0.0.1:8023, balance = 20 
2021-11-20 20:49:28.0512031 +0500 PKT m=+144.425744101, 127.0.0.1:8016, balance = 20 
2021-11-20 20:49:28.0512056 +0500 PKT m=+144.425746501, 127.0.0.1:8045, balance = 20 
2021-11-20 20:49:28.0512096 +0500 PKT m=+144.425750501, 127.0.0.1:8031, balance = 40 
2021-11-20 20:49:28.0512119 +0500 PKT m=+144.425752901, 127.0.0.1:8009, balance = 10 
2021-11-20 20:49:28.0512144 +0500 PKT m=+144.425755301, 127.0.0.1:8022, balance = 30 
2021-11-20 20:49:28.051219 +0500 PKT m=+144.425760001, 127.0.0.1:8000, balance = 20 
2021-11-20 20:49:28.0512222 +0500 PKT m=+144.425763201, 127.0.0.1:8015, balance = 10 
2021-11-20 20:49:28.0512254 +0500 PKT m=+144.425766401, 127.0.0.1:8048, balance = 10 
2021-11-20 20:49:28.0512289 +0500 PKT m=+144.425769801, 127.0.0.1:8021, balance = 30 
2021-11-20 20:49:28.0512325 +0500 PKT m=+144.425773401, 127.0.0.1:8005, balance = 10 
2021-11-20 20:49:28.0512356 +0500 PKT m=+144.425776601, 127.0.0.1:8014, balance = 0 
2021-11-20 20:49:28.0512388 +0500 PKT m=+144.425779801, 127.0.0.1:8006, balance = 30 
2021-11-20 20:49:28.0512419 +0500 PKT m=+144.425782901, 127.0.0.1:8034, balance = 30 
2021-11-20 20:49:28.0512471 +0500 PKT m=+144.425788001, 127.0.0.1:8025, balance = 20 
2021-11-20 20:49:28.0512556 +0500 PKT m=+144.425796601, 127.0.0.1:8001, balance = 20 
2021-11-20 20:49:38.0515818 +0500 PKT m=+154.426122701, 127.0.0.1:8010, balance = 20 
2021-11-20 20:49:38.0515932 +0500 PKT m=+154.426134101, 127.0.0.1:8027, balance = 0 
2021-11-20 20:49:38.0515959 +0500 PKT m=+154.426136901, 127.0.0.1:8035, balance = 0 
2021-11-20 20:49:38.0516084 +0500 PKT m=+154.426149301, 127.0.0.1:8043, balance = 10 
2021-11-20 20:49:38.051611 +0500 PKT m=+154.426151901, 127.0.0.1:8033, balance = 20 
2021-11-20 20:49:38.051614 +0500 PKT m=+154.426154901, 127.0.0.1:8003, balance = 20 
2021-11-20 20:49:38.0516164 +0500 PKT m=+154.426157301, 127.0.0.1:8002, balance = 10 
2021-11-20 20:49:38.0516181 +0500 PKT m=+154.426159001, 127.0.0.1:8011, balance = 20 
2021-11-20 20:49:38.0516193 +0500 PKT m=+154.426160301, 127.0.0.1:8041, balance = 10 
2021-11-20 20:49:38.0516213 +0500 PKT m=+154.426162201, 127.0.0.1:8046, balance = 20 
2021-11-20 20:49:38.0516222 +0500 PKT m=+154.426163201, 127.0.0.1:8029, balance = 10 
2021-11-20 20:49:38.051624 +0500 PKT m=+154.426164901, 127.0.0.1:8044, balance = 10 
2021-11-20 20:49:38.0516257 +0500 PKT m=+154.426166701, 127.0.0.1:8049, balance = 30 
2021-11-20 20:49:38.0516268 +0500 PKT m=+154.426167701, 127.0.0.1:8039, balance = 10 
2021-11-20 20:49:38.051629 +0500 PKT m=+154.426169901, 127.0.0.1:8024, balance = 0 
2021-11-20 20:49:38.0516306 +0500 PKT m=+154.426171601, 127.0.0.1:8037, balance = 10 
2021-11-20 20:49:38.0516315 +0500 PKT m=+154.426172501, 127.0.0.1:8030, balance = 0 
2021-11-20 20:49:38.0516335 +0500 PKT m=+154.426174401, 127.0.0.1:8007, balance = 10 
2021-11-20 20:49:38.0516351 +0500 PKT m=+154.426176001, 127.0.0.1:8038, balance = 40 
2021-11-20 20:49:38.051636 +0500 PKT m=+154.426176901, 127.0.0.1:8042, balance = 20 
2021-11-20 20:49:38.051637 +0500 PKT m=+154.426177901, 127.0.0.1:8032, balance = 10 
2021-11-20 20:49:38.0516473 +0500 PKT m=+154.426188201, 127.0.0.1:8028, balance = 30 
2021-11-20 20:49:38.0516483 +0500 PKT m=+154.426189201, 127.0.0.1:8012, balance = 10 
2021-11-20 20:49:38.0516492 +0500 PKT m=+154.426190201, 127.0.0.1:8019, balance = 20 
2021-11-20 20:49:38.0516507 +0500 PKT m=+154.426191701, 127.0.0.1:8020, balance = 0 
2021-11-20 20:49:38.0516519 +0500 PKT m=+154.426192801, 127.0.0.1:8036, balance = 20 
2021-11-20 20:49:38.0516537 +0500 PKT m=+154.426194601, 127.0.0.1:8017, balance = 20 
2021-11-20 20:49:38.0516557 +0500 PKT m=+154.426196601, 127.0.0.1:8018, balance = 10 
2021-11-20 20:49:38.0516572 +0500 PKT m=+154.426198101, 127.0.0.1:8047, balance = 40 
2021-11-20 20:49:38.0516585 +0500 PKT m=+154.426199401, 127.0.0.1:8026, balance = 10 
2021-11-20 20:49:38.0516601 +0500 PKT m=+154.426201001, 127.0.0.1:8004, balance = 10 
2021-11-20 20:49:38.0516618 +0500 PKT m=+154.426202801, 127.0.0.1:8040, balance = 10 
2021-11-20 20:49:38.0516645 +0500 PKT m=+154.426205401, 127.0.0.1:8008, balance = 30 
2021-11-20 20:49:38.0516657 +0500 PKT m=+154.426206601, 127.0.0.1:8013, balance = 10 
2021-11-20 20:49:38.0516668 +0500 PKT m=+154.426207801, 127.0.0.1:8023, balance = 20 
2021-11-20 20:49:38.0516686 +0500 PKT m=+154.426209501, 127.0.0.1:8016, balance = 20 
2021-11-20 20:49:38.0516743 +0500 PKT m=+154.426215301, 127.0.0.1:8045, balance = 20 
2021-11-20 20:49:38.0516752 +0500 PKT m=+154.426216201, 127.0.0.1:8031, balance = 40 
2021-11-20 20:49:38.0516773 +0500 PKT m=+154.426218201, 127.0.0.1:8009, balance = 10 
2021-11-20 20:49:38.0516785 +0500 PKT m=+154.426219501, 127.0.0.1:8022, balance = 30 
2021-11-20 20:49:38.0516797 +0500 PKT m=+154.426220601, 127.0.0.1:8050, balance = 0 
2021-11-20 20:49:38.0516818 +0500 PKT m=+154.426222701, 127.0.0.1:8048, balance = 10 
2021-11-20 20:49:38.0516837 +0500 PKT m=+154.426224601, 127.0.0.1:8021, balance = 30 
2021-11-20 20:49:38.0516858 +0500 PKT m=+154.426226801, 127.0.0.1:8005, balance = 10 
2021-11-20 20:49:38.0516876 +0500 PKT m=+154.426228501, 127.0.0.1:8014, balance = 0 
2021-11-20 20:49:38.0516893 +0500 PKT m=+154.426230301, 127.0.0.1:8006, balance = 30 
2021-11-20 20:49:38.0516913 +0500 PKT m=+154.426232301, 127.0.0.1:8034, balance = 30 
2021-11-20 20:49:38.0516932 +0500 PKT m=+154.426234101, 127.0.0.1:8000, balance = 20 
2021-11-20 20:49:38.0516949 +0500 PKT m=+154.426235801, 127.0.0.1:8015, balance = 10 
2021-11-20 20:49:38.0516971 +0500 PKT m=+154.426238001, 127.0.0.1:8001, balance = 20 
2021-11-20 20:49:38.0516986 +0500 PKT m=+154.426239501, 127.0.0.1:8025, balance = 20 
2021-11-20 20:49:48.0599332 +0500 PKT m=+164.434474201, 127.0.0.1:8010, balance = 20 
2021-11-20 20:49:48.0599429 +0500 PKT m=+164.434483801, 127.0.0.1:8033, balance = 30 
2021-11-20 20:49:48.0599488 +0500 PKT m=+164.434489801, 127.0.0.1:8003, balance = 20 
2021-11-20 20:49:48.0599505 +0500 PKT m=+164.434491401, 127.0.0.1:8002, balance = 10 
2021-11-20 20:49:48.059952 +0500 PKT m=+164.434492901, 127.0.0.1:8011, balance = 20 
2021-11-20 20:49:48.0599553 +0500 PKT m=+164.434496301, 127.0.0.1:8041, balance = 10 
2021-11-20 20:49:48.0599568 +0500 PKT m=+164.434497701, 127.0.0.1:8027, balance = 10 
2021-11-20 20:49:48.0599581 +0500 PKT m=+164.434499001, 127.0.0.1:8035, balance = 10 
2021-11-20 20:49:48.0599607 +0500 PKT m=+164.434501601, 127.0.0.1:8043, balance = 10 
2021-11-20 20:49:48.0599626 +0500 PKT m=+164.434503501, 127.0.0.1:8049, balance = 40 
2021-11-20 20:49:48.0599635 +0500 PKT m=+164.434504501, 127.0.0.1:8039, balance = 10 
2021-11-20 20:49:48.0599651 +0500 PKT m=+164.434506101, 127.0.0.1:8046, balance = 30 
2021-11-20 20:49:48.0599674 +0500 PKT m=+164.434508301, 127.0.0.1:8029, balance = 20 
2021-11-20 20:49:48.0599689 +0500 PKT m=+164.434509801, 127.0.0.1:8044, balance = 20 
2021-11-20 20:49:48.0599714 +0500 PKT m=+164.434512301, 127.0.0.1:8007, balance = 20 
2021-11-20 20:49:48.0599757 +0500 PKT m=+164.434516601, 127.0.0.1:8024, balance = 10 
2021-11-20 20:49:48.0599766 +0500 PKT m=+164.434517501, 127.0.0.1:8037, balance = 10 
2021-11-20 20:49:48.059978 +0500 PKT m=+164.434518901, 127.0.0.1:8030, balance = 10 
2021-11-20 20:49:48.0599794 +0500 PKT m=+164.434520301, 127.0.0.1:8028, balance = 40 
2021-11-20 20:49:48.0599803 +0500 PKT m=+164.434521201, 127.0.0.1:8012, balance = 20 
2021-11-20 20:49:48.0599812 +0500 PKT m=+164.434522101, 127.0.0.1:8019, balance = 20 
2021-11-20 20:49:48.0599866 +0500 PKT m=+164.434527501, 127.0.0.1:8038, balance = 40 
2021-11-20 20:49:48.0599876 +0500 PKT m=+164.434528501, 127.0.0.1:8042, balance = 20 
2021-11-20 20:49:48.0599886 +0500 PKT m=+164.434529501, 127.0.0.1:8032, balance = 20 
2021-11-20 20:49:48.0599908 +0500 PKT m=+164.434531701, 127.0.0.1:8018, balance = 10 
2021-11-20 20:49:48.0599917 +0500 PKT m=+164.434532701, 127.0.0.1:8047, balance = 50 
2021-11-20 20:49:48.0599926 +0500 PKT m=+164.434533501, 127.0.0.1:8026, balance = 30 
2021-11-20 20:49:48.0599946 +0500 PKT m=+164.434535501, 127.0.0.1:8004, balance = 20 
2021-11-20 20:49:48.0599957 +0500 PKT m=+164.434536601, 127.0.0.1:8040, balance = 40 
2021-11-20 20:49:48.0599972 +0500 PKT m=+164.434538101, 127.0.0.1:8020, balance = 0 
2021-11-20 20:49:48.0599988 +0500 PKT m=+164.434539701, 127.0.0.1:8036, balance = 30 
2021-11-20 20:49:48.0599998 +0500 PKT m=+164.434540701, 127.0.0.1:8017, balance = 30 
2021-11-20 20:49:48.0600018 +0500 PKT m=+164.434542701, 127.0.0.1:8013, balance = 20 
2021-11-20 20:49:48.0600028 +0500 PKT m=+164.434543701, 127.0.0.1:8008, balance = 30 
2021-11-20 20:49:48.0600038 +0500 PKT m=+164.434544701, 127.0.0.1:8031, balance = 40 
2021-11-20 20:49:48.0600057 +0500 PKT m=+164.434546601, 127.0.0.1:8009, balance = 20 
2021-11-20 20:49:48.0600106 +0500 PKT m=+164.434551501, 127.0.0.1:8022, balance = 30 
2021-11-20 20:49:48.0600124 +0500 PKT m=+164.434553301, 127.0.0.1:8050, balance = 0 
2021-11-20 20:49:48.0600141 +0500 PKT m=+164.434555001, 127.0.0.1:8023, balance = 20 
2021-11-20 20:49:48.0600152 +0500 PKT m=+164.434556101, 127.0.0.1:8016, balance = 20 
2021-11-20 20:49:48.0600161 +0500 PKT m=+164.434557101, 127.0.0.1:8045, balance = 20 
2021-11-20 20:49:48.0600181 +0500 PKT m=+164.434559001, 127.0.0.1:8014, balance = 0 
2021-11-20 20:49:48.0600196 +0500 PKT m=+164.434560501, 127.0.0.1:8006, balance = 30 
2021-11-20 20:49:48.0600215 +0500 PKT m=+164.434562401, 127.0.0.1:8034, balance = 30 
2021-11-20 20:49:48.0600231 +0500 PKT m=+164.434564101, 127.0.0.1:8000, balance = 30 
2021-11-20 20:49:48.0600256 +0500 PKT m=+164.434566501, 127.0.0.1:8015, balance = 10 
2021-11-20 20:49:48.0600274 +0500 PKT m=+164.434568401, 127.0.0.1:8048, balance = 10 
2021-11-20 20:49:48.060029 +0500 PKT m=+164.434570001, 127.0.0.1:8021, balance = 50 
2021-11-20 20:49:48.0600309 +0500 PKT m=+164.434571901, 127.0.0.1:8005, balance = 20 
2021-11-20 20:49:48.0600327 +0500 PKT m=+164.434573701, 127.0.0.1:8025, balance = 40 
2021-11-20 20:49:48.0600347 +0500 PKT m=+164.434575601, 127.0.0.1:8001, balance = 30 
2021-11-20 20:49:58.061094 +0500 PKT m=+174.435635001, 127.0.0.1:8049, balance = 40 
2021-11-20 20:49:58.0611096 +0500 PKT m=+174.435650501, 127.0.0.1:8039, balance = 10 
2021-11-20 20:49:58.061114 +0500 PKT m=+174.435654901, 127.0.0.1:8046, balance = 30 
2021-11-20 20:49:58.0611179 +0500 PKT m=+174.435658901, 127.0.0.1:8029, balance = 20 
2021-11-20 20:49:58.0611206 +0500 PKT m=+174.435661601, 127.0.0.1:8044, balance = 20 
2021-11-20 20:49:58.0611375 +0500 PKT m=+174.435678401, 127.0.0.1:8007, balance = 20 
2021-11-20 20:49:58.0611409 +0500 PKT m=+174.435681801, 127.0.0.1:8024, balance = 10 
2021-11-20 20:49:58.061143 +0500 PKT m=+174.435683901, 127.0.0.1:8037, balance = 10 
2021-11-20 20:49:58.0611459 +0500 PKT m=+174.435686801, 127.0.0.1:8030, balance = 10 
2021-11-20 20:49:58.0611493 +0500 PKT m=+174.435690201, 127.0.0.1:8028, balance = 40 
2021-11-20 20:49:58.061151 +0500 PKT m=+174.435691901, 127.0.0.1:8012, balance = 20 
2021-11-20 20:49:58.0611533 +0500 PKT m=+174.435694201, 127.0.0.1:8019, balance = 20 
2021-11-20 20:49:58.0611562 +0500 PKT m=+174.435697201, 127.0.0.1:8038, balance = 40 
2021-11-20 20:49:58.0611601 +0500 PKT m=+174.435701101, 127.0.0.1:8042, balance = 20 
2021-11-20 20:49:58.0611636 +0500 PKT m=+174.435704501, 127.0.0.1:8032, balance = 20 
2021-11-20 20:49:58.0611669 +0500 PKT m=+174.435707901, 127.0.0.1:8018, balance = 10 
2021-11-20 20:49:58.0611689 +0500 PKT m=+174.435709901, 127.0.0.1:8047, balance = 50 
2021-11-20 20:49:58.0611728 +0500 PKT m=+174.435713801, 127.0.0.1:8026, balance = 30 
2021-11-20 20:49:58.0611753 +0500 PKT m=+174.435716401, 127.0.0.1:8004, balance = 20 
2021-11-20 20:49:58.0611771 +0500 PKT m=+174.435718201, 127.0.0.1:8040, balance = 40 
2021-11-20 20:49:58.0611799 +0500 PKT m=+174.435720901, 127.0.0.1:8020, balance = 0 
2021-11-20 20:49:58.0611826 +0500 PKT m=+174.435723601, 127.0.0.1:8036, balance = 30 
2021-11-20 20:49:58.0611873 +0500 PKT m=+174.435728201, 127.0.0.1:8017, balance = 30 
2021-11-20 20:49:58.0611895 +0500 PKT m=+174.435730501, 127.0.0.1:8013, balance = 20 
2021-11-20 20:49:58.0611922 +0500 PKT m=+174.435733101, 127.0.0.1:8008, balance = 30 
2021-11-20 20:49:58.0611941 +0500 PKT m=+174.435735001, 127.0.0.1:8031, balance = 40 
2021-11-20 20:49:58.0611963 +0500 PKT m=+174.435737201, 127.0.0.1:8009, balance = 20 
2021-11-20 20:49:58.0611993 +0500 PKT m=+174.435740301, 127.0.0.1:8022, balance = 30 
2021-11-20 20:49:58.0612023 +0500 PKT m=+174.435743201, 127.0.0.1:8050, balance = 0 
2021-11-20 20:49:58.0612039 +0500 PKT m=+174.435744901, 127.0.0.1:8023, balance = 20 
2021-11-20 20:49:58.0612071 +0500 PKT m=+174.435748101, 127.0.0.1:8016, balance = 20 
2021-11-20 20:49:58.0612099 +0500 PKT m=+174.435750901, 127.0.0.1:8045, balance = 20 
2021-11-20 20:49:58.0612128 +0500 PKT m=+174.435753701, 127.0.0.1:8014, balance = 0 
2021-11-20 20:49:58.061215 +0500 PKT m=+174.435755901, 127.0.0.1:8006, balance = 30 
2021-11-20 20:49:58.0612168 +0500 PKT m=+174.435757801, 127.0.0.1:8034, balance = 30 
2021-11-20 20:49:58.0612186 +0500 PKT m=+174.435759501, 127.0.0.1:8000, balance = 30 
2021-11-20 20:49:58.061225 +0500 PKT m=+174.435766001, 127.0.0.1:8015, balance = 10 
2021-11-20 20:49:58.0612269 +0500 PKT m=+174.435767901, 127.0.0.1:8048, balance = 10 
2021-11-20 20:49:58.0612296 +0500 PKT m=+174.435770501, 127.0.0.1:8021, balance = 50 
2021-11-20 20:49:58.0612316 +0500 PKT m=+174.435772501, 127.0.0.1:8005, balance = 20 
2021-11-20 20:49:58.0612345 +0500 PKT m=+174.435775501, 127.0.0.1:8025, balance = 40 
2021-11-20 20:49:58.0612387 +0500 PKT m=+174.435779601, 127.0.0.1:8001, balance = 30 
2021-11-20 20:49:58.0612553 +0500 PKT m=+174.435796201, 127.0.0.1:8010, balance = 20 
2021-11-20 20:49:58.061259 +0500 PKT m=+174.435799901, 127.0.0.1:8033, balance = 30 
2021-11-20 20:49:58.0612615 +0500 PKT m=+174.435802401, 127.0.0.1:8003, balance = 20 
2021-11-20 20:49:58.0612643 +0500 PKT m=+174.435805301, 127.0.0.1:8002, balance = 10 
2021-11-20 20:49:58.0612669 +0500 PKT m=+174.435807901, 127.0.0.1:8011, balance = 20 
2021-11-20 20:49:58.0612695 +0500 PKT m=+174.435810401, 127.0.0.1:8041, balance = 10 
2021-11-20 20:49:58.0612725 +0500 PKT m=+174.435813401, 127.0.0.1:8027, balance = 10 
2021-11-20 20:49:58.0612758 +0500 PKT m=+174.435816701, 127.0.0.1:8035, balance = 10 
2021-11-20 20:49:58.0612777 +0500 PKT m=+174.435818701, 127.0.0.1:8043, balance = 10 
2021-11-20 20:50:08.0618935 +0500 PKT m=+184.436434501, 127.0.0.1:8019, balance = 20 
2021-11-20 20:50:08.0619051 +0500 PKT m=+184.436446001, 127.0.0.1:8038, balance = 40 
2021-11-20 20:50:08.0619076 +0500 PKT m=+184.436448501, 127.0.0.1:8042, balance = 20 
2021-11-20 20:50:08.0619096 +0500 PKT m=+184.436450501, 127.0.0.1:8032, balance = 20 
2021-11-20 20:50:08.0619115 +0500 PKT m=+184.436452501, 127.0.0.1:8028, balance = 40 
2021-11-20 20:50:08.0619289 +0500 PKT m=+184.436469901, 127.0.0.1:8012, balance = 20 
2021-11-20 20:50:08.0619344 +0500 PKT m=+184.436475301, 127.0.0.1:8040, balance = 40 
2021-11-20 20:50:08.0619375 +0500 PKT m=+184.436478501, 127.0.0.1:8020, balance = 0 
2021-11-20 20:50:08.0619415 +0500 PKT m=+184.436482501, 127.0.0.1:8036, balance = 30 
2021-11-20 20:50:08.0619451 +0500 PKT m=+184.436486001, 127.0.0.1:8017, balance = 30 
2021-11-20 20:50:08.0619481 +0500 PKT m=+184.436489001, 127.0.0.1:8018, balance = 10 
2021-11-20 20:50:08.0619513 +0500 PKT m=+184.436492201, 127.0.0.1:8047, balance = 50 
2021-11-20 20:50:08.0619568 +0500 PKT m=+184.436497801, 127.0.0.1:8026, balance = 30 
2021-11-20 20:50:08.0619593 +0500 PKT m=+184.436500301, 127.0.0.1:8004, balance = 20 
2021-11-20 20:50:08.0619644 +0500 PKT m=+184.436505301, 127.0.0.1:8013, balance = 20 
2021-11-20 20:50:08.0619707 +0500 PKT m=+184.436511601, 127.0.0.1:8008, balance = 30 
2021-11-20 20:50:08.0619735 +0500 PKT m=+184.436514401, 127.0.0.1:8050, balance = 0 
2021-11-20 20:50:08.0619773 +0500 PKT m=+184.436518201, 127.0.0.1:8023, balance = 20 
2021-11-20 20:50:08.0619806 +0500 PKT m=+184.436521601, 127.0.0.1:8016, balance = 20 
2021-11-20 20:50:08.0619841 +0500 PKT m=+184.436525001, 127.0.0.1:8045, balance = 20 
2021-11-20 20:50:08.0619853 +0500 PKT m=+184.436526301, 127.0.0.1:8031, balance = 40 
2021-11-20 20:50:08.0619872 +0500 PKT m=+184.436528201, 127.0.0.1:8009, balance = 20 
2021-11-20 20:50:08.0619903 +0500 PKT m=+184.436531201, 127.0.0.1:8022, balance = 30 
2021-11-20 20:50:08.0619922 +0500 PKT m=+184.436533101, 127.0.0.1:8015, balance = 10 
2021-11-20 20:50:08.0619948 +0500 PKT m=+184.436535701, 127.0.0.1:8048, balance = 10 
2021-11-20 20:50:08.0619964 +0500 PKT m=+184.436537301, 127.0.0.1:8021, balance = 50 
2021-11-20 20:50:08.0619976 +0500 PKT m=+184.436538601, 127.0.0.1:8005, balance = 20 
2021-11-20 20:50:08.0619997 +0500 PKT m=+184.436540701, 127.0.0.1:8014, balance = 0 
2021-11-20 20:50:08.0620023 +0500 PKT m=+184.436543301, 127.0.0.1:8006, balance = 30 
2021-11-20 20:50:08.0620042 +0500 PKT m=+184.436545101, 127.0.0.1:8034, balance = 30 
2021-11-20 20:50:08.0620055 +0500 PKT m=+184.436546401, 127.0.0.1:8000, balance = 30 
2021-11-20 20:50:08.0620078 +0500 PKT m=+184.436548701, 127.0.0.1:8025, balance = 40 
2021-11-20 20:50:08.0620106 +0500 PKT m=+184.436551501, 127.0.0.1:8001, balance = 30 
2021-11-20 20:50:08.0620119 +0500 PKT m=+184.436552901, 127.0.0.1:8010, balance = 20 
2021-11-20 20:50:08.0620131 +0500 PKT m=+184.436554001, 127.0.0.1:8041, balance = 10 
2021-11-20 20:50:08.0620143 +0500 PKT m=+184.436555301, 127.0.0.1:8027, balance = 10 
2021-11-20 20:50:08.0620207 +0500 PKT m=+184.436561601, 127.0.0.1:8035, balance = 10 
2021-11-20 20:50:08.062022 +0500 PKT m=+184.436562901, 127.0.0.1:8043, balance = 10 
2021-11-20 20:50:08.0620249 +0500 PKT m=+184.436565801, 127.0.0.1:8033, balance = 30 
2021-11-20 20:50:08.0620269 +0500 PKT m=+184.436567901, 127.0.0.1:8003, balance = 20 
2021-11-20 20:50:08.0620287 +0500 PKT m=+184.436569601, 127.0.0.1:8002, balance = 10 
2021-11-20 20:50:08.0620447 +0500 PKT m=+184.436585701, 127.0.0.1:8011, balance = 20 
2021-11-20 20:50:08.0620487 +0500 PKT m=+184.436589701, 127.0.0.1:8039, balance = 10 
2021-11-20 20:50:08.0620523 +0500 PKT m=+184.436593301, 127.0.0.1:8046, balance = 30 
2021-11-20 20:50:08.0620552 +0500 PKT m=+184.436596201, 127.0.0.1:8029, balance = 20 
2021-11-20 20:50:08.0620573 +0500 PKT m=+184.436598201, 127.0.0.1:8044, balance = 20 
2021-11-20 20:50:08.0620594 +0500 PKT m=+184.436600301, 127.0.0.1:8049, balance = 40 
2021-11-20 20:50:08.0620614 +0500 PKT m=+184.436602301, 127.0.0.1:8007, balance = 20 
2021-11-20 20:50:08.0620639 +0500 PKT m=+184.436604801, 127.0.0.1:8024, balance = 10 
2021-11-20 20:50:08.0620653 +0500 PKT m=+184.436606201, 127.0.0.1:8037, balance = 10 
2021-11-20 20:50:08.0620667 +0500 PKT m=+184.436607701, 127.0.0.1:8030, balance = 10 
2021-11-20 20:50:18.0624188 +0500 PKT m=+194.436959701, 127.0.0.1:8007, balance = 20 
2021-11-20 20:50:18.0624563 +0500 PKT m=+194.436997201, 127.0.0.1:8024, balance = 10 
2021-11-20 20:50:18.0624607 +0500 PKT m=+194.437001601, 127.0.0.1:8037, balance = 10 
2021-11-20 20:50:18.0624629 +0500 PKT m=+194.437003801, 127.0.0.1:8030, balance = 10 
2021-11-20 20:50:18.0624651 +0500 PKT m=+194.437006001, 127.0.0.1:8019, balance = 20 
2021-11-20 20:50:18.0624669 +0500 PKT m=+194.437007801, 127.0.0.1:8038, balance = 40 
